has_https;has_about_page;has_contact_page;has_legal_info;has_social_links;has_editorial_mention;external_links_count;domain;heuristic_rating;class
True;True;True;True;True;True;109;belta.by;5;2
True;True;True;False;True;True;159;people.onliner.by;5;2
True;True;True;False;True;True;19;probusiness.io;5;2
True;False;True;False;True;True;15;virtualbrest.ru;5;1
True;True;True;False;True;True;20;brestcity.com;5;2
True;False;False;False;True;False;19;ont.by;5;1
True;True;True;True;True;True;39;ctv.by;5;2
True;False;True;False;True;True;33;newgrodno.by;5;1
True;False;True;False;True;True;5;mlyn.by;5;1
True;True;True;False;True;True;59;sb.by;5;2
True;True;True;True;True;True;44;kraj.by;5;2
True;False;False;False;False;False;0;smi2.by;3;0
True;False;False;True;True;True;69;news.mail.ru;5;0
True;False;False;False;False;False;0;yandex.ru/news;2;0
True;True;True;False;True;True;11;www.grodnoplustv.by;5;2
True;False;False;False;True;False;5;vgr.by;4;1
True;False;True;True;True;True;22;sputnik.by;5;2
True;False;False;True;True;True;1;news.by;5;2
True;False;True;True;True;True;18;neg.by;5;2
True;False;True;False;True;True;4;4esnok.by;5;2
True;True;False;True;True;True;21;officelife.media;5;2
True;True;True;True;True;True;1;primepress.by;5;2
True;True;True;False;True;True;14;blizko.by;5;2
True;False;True;True;True;True;27;dzyannica.by;5;1
True;True;False;True;True;True;10;smartpress.by;5;2
True;True;True;False;True;False;19;tochka.by;5;2
True;False;False;False;True;True;9;minsknews.by;4;1
True;False;True;True;True;True;103;Belretail.by;5;2
True;True;True;False;True;False;32;belarus-news.by;5;0
True;True;False;True;True;True;14;by.mir24.tv;5;2
True;True;True;False;True;True;32;belarus24.by;5;2
True;True;True;False;True;True;44;npr.by;5;2
True;False;False;False;True;False;4;telegraf.news;3;0
True;False;True;True;True;True;6;times.by;5;2
True;False;False;False;False;False;3;www.belarustoday.info;2;0
True;True;True;True;False;False;1;dailynews.by;5;2
True;False;True;True;True;True;18;volkovysknews.by;5;1
True;True;True;True;True;True;3;obzor.news;5;0
True;True;False;True;True;False;169;rambler.ru;5;0
True;True;True;True;True;True;12;belnovosti.by;5;2
True;False;True;False;True;False;0;postnews.by;5;0
True;False;True;False;True;False;0;vgpl5.by;5;0
True;False;True;True;True;True;5;lenta.ru;5;2
True;True;True;True;True;True;39;ria.ru;5;2
True;True;True;True;True;True;152;mk.ru;5;2
True;True;True;False;True;False;1;www.allnews.by.makit.by;5;1
True;False;True;True;True;True;37;www.interfax.ru;5;2
True;True;False;True;True;True;35;iz.ru;5;2
True;True;True;True;True;True;72;Bobr.by;5;2
True;True;True;False;True;True;193;Aif.by;5;2
True;False;True;False;True;True;154;Km.by;5;2
True;False;False;False;True;True;97;Belapan.by;5;1
True;True;True;False;True;True;47;gp.by;5;2
True;True;True;True;True;True;29;Newsgomel.by;5;2
True;False;False;False;False;True;167;Gomelnews.ru;4;2
True;False;False;False;True;True;119;www.belarus.kp.ru;5;2
